Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
SI-25681,1096,658,7,Electronics,Electronic Games,Jazz Cash
SI-26055,5729,64,14,Furniture,Chairs,UPaisa
SI-25955,2927,146,8,Furniture,Bookcases,UPaisa
SI-26093,2847,712,8,Electronics,Printers,Credit Card
SI-25602,2617,1151,4,Electronics,Phones,Credit Card
SI-25881,2244,247,4,Clothing,Trousers,Credit Card
SI-25696,275,-275,4,Clothing,Saree,Jazz Cash
SI-25687,387,-213,5,Clothing,Saree,Easypaisa
SI-25643,50,-44,2,Clothing,Hankerchief,Easypaisa
SI-25851,135,-54,5,Clothing,Kurti,Jazz Cash
SI-25703,231,-190,9,Clothing,Hankerchief,Jazz Cash
SI-25887,2125,-234,6,Electronics,Printers,UPaisa
SI-25923,3873,-891,6,Electronics,Phones,Credit Card
SI-25756,729,-492,5,Furniture,Bookcases,Easypaisa
SI-25761,2188,1050,5,Furniture,Bookcases,Credit Card
SI-25655,6,-3,1,Clothing,Hankerchief,Easypaisa
SI-25786,1854,433,5,Furniture,Bookcases,Credit Card
SI-26095,6,1,1,Clothing,Kurti,Easypaisa
SI-25853,2093,721,5,Furniture,Chairs,Credit Card
SI-25735,7,-1,2,Clothing,Skirt,Easypaisa
SI-25910,1622,-624,5,Furniture,Tables,Credit Card
SI-25950,1622,95,5,Electronics,Printers,Credit Card
SI-25744,373,254,6,Electronics,Printers,Easypaisa
SI-25845,82,-33,4,Clothing,Kurti,Jazz Cash
SI-26001,8,2,2,Clothing,Skirt,Easypaisa
SI-25830,1954,782,3,Electronics,Phones,Credit Card
SI-25842,1543,370,8,Electronics,Printers,Credit Card
SI-25778,1506,-266,6,Electronics,Printers,Credit Card
SI-25686,1829,-56,6,Furniture,Tables,Credit Card
SI-25754,9,-1,3,Clothing,Skirt,Easypaisa
SI-26048,1461,202,5,Furniture,Tables,UPaisa
SI-25816,391,113,8,Clothing,Stole,Jazz Cash
SI-26022,1824,1303,8,Electronics,Phones,Credit Card
SI-25883,16,-15,4,Clothing,Hankerchief,Easypaisa
SI-26003,1745,122,2,Furniture,Tables,Credit Card
SI-26097,663,-212,5,Electronics,Printers,Easypaisa
SI-25710,10,-1,1,Clothing,Leggings,Easypaisa
SI-25797,1630,802,5,Furniture,Tables,UPaisa
SI-25618,12,0,2,Clothing,Hankerchief,Easypaisa
SI-25723,12,-7,2,Clothing,Leggings,Easypaisa
SI-25755,1709,564,3,Clothing,Trousers,Credit Card
SI-25788,12,3,1,Clothing,Stole,Easypaisa
SI-25681,1625,-77,3,Electronics,Phones,UPaisa
SI-25991,13,5,2,Clothing,Hankerchief,Easypaisa
SI-25779,1361,980,3,Furniture,Tables,Jazz Cash
SI-25909,1622,-448,3,Electronics,Phones,UPaisa
SI-25943,1547,340,6,Electronics,Accessories,UPaisa
SI-25935,1657,460,4,Furniture,Chairs,Credit Card
SI-25613,1603,0,9,Clothing,Saree,Credit Card
SI-25729,1549,-439,4,Electronics,Phones,Credit Card
SI-25772,1183,106,4,Electronics,Printers,UPaisa
SI-25655,74,-123,8,Clothing,Skirt,Easypaisa
SI-25640,1499,239,13,Clothing,Saree,Credit Card
SI-25810,1120,199,6,Clothing,Saree,UPaisa
SI-25801,15,-2,1,Clothing,T-shirt,Debit Card
SI-26085,1487,624,3,Clothing,Trousers,Credit Card
SI-25868,1118,206,2,Furniture,Tables,Credit Card
SI-25714,11,-5,2,Clothing,Hankerchief,Jazz Cash
SI-25784,15,4,1,Clothing,Hankerchief,Debit Card
SI-25608,1364,1864,5,Furniture,Tables,Credit Card
SI-26051,1337,147,7,Electronics,Printers,Credit Card
SI-25900,15,2,1,Clothing,Leggings,Debit Card
SI-25760,322,-193,5,Electronics,Printers,Easypaisa
SI-25762,1316,527,7,Electronics,Electronic Games,Credit Card
SI-25995,1314,342,3,Furniture,Bookcases,Credit Card
SI-25965,17,7,3,Clothing,Hankerchief,Debit Card
SI-25967,17,2,2,Clothing,Skirt,Debit Card
SI-25674,17,-12,5,Clothing,Skirt,Debit Card
SI-25929,1308,536,3,Furniture,Bookcases,Credit Card
SI-25777,1076,-38,4,Electronics,Printers,Credit Card
SI-26006,1301,573,5,Electronics,Accessories,Credit Card
SI-25697,1300,-16,8,Electronics,Printers,Credit Card
SI-25667,11,-2,4,Clothing,Hankerchief,Jazz Cash
SI-25836,1298,65,9,Electronics,Printers,UPaisa
SI-25984,304,97,6,Clothing,Stole,Easypaisa
SI-25728,1055,264,4,Electronics,Printers,UPaisa
SI-25757,17,-13,4,Clothing,Skirt,Debit Card
SI-25957,147,73,3,Clothing,Stole,Jazz Cash
SI-26061,965,-68,3,Electronics,Printers,Jazz Cash
SI-25735,12,-2,3,Clothing,Hankerchief,Jazz Cash
SI-25616,14,-2,3,Clothing,Hankerchief,Easypaisa
SI-25666,934,-916,7,Electronics,Electronic Games,Jazz Cash
SI-25675,929,-93,9,Clothing,Saree,Jazz Cash
SI-26079,18,3,2,Clothing,Hankerchief,Debit Card
SI-25850,916,192,11,Electronics,Phones,Jazz Cash
SI-25693,76,-72,9,Clothing,Hankerchief,Jazz Cash
SI-25852,869,67,4,Furniture,Tables,Jazz Cash
SI-25860,112,24,3,Clothing,Kurti,Jazz Cash
SI-25853,39,16,6,Clothing,Skirt,Easypaisa
SI-25898,857,-274,2,Furniture,Tables,Jazz Cash
SI-26100,828,230,2,Furniture,Chairs,Jazz Cash
SI-25653,1279,-640,8,Electronics,Printers,UPaisa
SI-25839,1250,486,7,Clothing,Saree,UPaisa
SI-25651,823,-18,7,Furniture,Chairs,Jazz Cash
SI-25957,1157,-13,9,Furniture,Bookcases,Credit Card
SI-25704,126,-63,3,Electronics,Accessories,Easypaisa
SI-25730,1145,-706,3,Electronics,Phones,Credit Card
SI-26052,774,170,3,Electronics,Accessories,Jazz Cash
SI-25656,24,-1,2,Clothing,Hankerchief,Jazz Cash
SI-26033,774,170,3,Electronics,Accessories,Jazz Cash
SI-25850,93,-1,2,Clothing,Hankerchief,Jazz Cash
SI-25945,765,-36,3,Electronics,Electronic Games,Jazz Cash
SI-26086,762,101,6,Electronics,Printers,Jazz Cash
SI-25752,761,266,9,Electronics,Electronic Games,Jazz Cash
SI-26098,96,-48,5,Clothing,Leggings,Easypaisa
SI-26067,1137,-14,7,Electronics,Printers,UPaisa
SI-25730,18,8,2,Clothing,Hankerchief,Debit Card
SI-25986,749,-307,7,Furniture,Furnishings,Jazz Cash
SI-26067,1120,199,6,Clothing,Saree,UPaisa
SI-25953,744,119,6,Electronics,Printers,Jazz Cash
SI-25952,14,0,4,Clothing,Hankerchief,Easypaisa
SI-25903,19,8,2,Clothing,Hankerchief,Debit Card
SI-25650,512,-225,5,Clothing,Saree,Jazz Cash
SI-25970,742,198,2,Furniture,Bookcases,Jazz Cash
SI-26062,44,-40,3,Clothing,Stole,Jazz Cash
SI-25643,1061,-36,8,Furniture,Bookcases,UPaisa
SI-25632,19,-2,2,Clothing,Leggings,Debit Card
SI-25821,17,0,1,Clothing,Hankerchief,Jazz Cash
SI-25878,741,267,5,Furniture,Bookcases,Jazz Cash
SI-25752,735,-235,6,Electronics,Printers,Jazz Cash
SI-25750,19,-1,1,Clothing,Shirt,Debit Card
SI-25657,1021,-48,4,Electronics,Electronic Games,UPaisa
SI-25787,556,-209,7,Clothing,Saree,Jazz Cash
SI-25808,63,-17,6,Clothing,Leggings,Jazz Cash
SI-25885,734,248,2,Furniture,Chairs,Jazz Cash
SI-25778,933,166,5,Clothing,Saree,Credit Card
SI-25759,20,-9,6,Clothing,Hankerchief,Debit Card
SI-25747,877,395,2,Furniture,Bookcases,Credit Card
SI-25878,719,303,6,Furniture,Chairs,Jazz Cash
SI-25603,12,1,2,Clothing,Hankerchief,Jazz Cash
SI-25691,714,56,4,Clothing,Saree,Jazz Cash
SI-25607,50,-15,4,Clothing,Leggings,Jazz Cash
SI-25708,709,-100,5,Electronics,Phones,Jazz Cash
SI-26021,21,-12,3,Clothing,Hankerchief,Debit Card
SI-25831,693,254,6,Clothing,Saree,Jazz Cash
SI-25850,24,1,4,Clothing,Hankerchief,Jazz Cash
SI-25670,24,1,2,Clothing,Hankerchief,Easypaisa
SI-25852,24,1,2,Clothing,Hankerchief,Jazz Cash
SI-26029,21,10,1,Clothing,T-shirt,Debit Card
SI-25959,681,259,4,Furniture,Chairs,Jazz Cash
SI-25676,674,-187,2,Furniture,Tables,Jazz Cash
SI-26097,671,-309,5,Electronics,Electronic Games,Jazz Cash
SI-25888,646,-213,3,Electronics,Electronic Games,Jazz Cash
SI-25911,40,15,1,Clothing,Kurti,Jazz Cash
SI-25662,24,-2,2,Clothing,T-shirt,Jazz Cash
SI-25950,644,167,2,Electronics,Printers,Jazz Cash
SI-25847,643,225,2,Electronics,Printers,Jazz Cash
SI-25796,632,-316,6,Clothing,Saree,Jazz Cash
SI-25693,632,316,6,Clothing,Saree,Jazz Cash
SI-25993,610,208,3,Electronics,Printers,Jazz Cash
SI-26052,78,-28,6,Clothing,Kurti,Easypaisa
SI-25930,595,119,4,Furniture,Bookcases,Jazz Cash
SI-25785,595,292,3,Clothing,Saree,Jazz Cash
SI-26093,852,51,5,Furniture,Bookcases,Credit Card
SI-26053,594,89,3,Furniture,Bookcases,Jazz Cash
SI-26019,585,175,13,Clothing,T-shirt,Jazz Cash
SI-26070,582,262,5,Furniture,Furnishings,Jazz Cash
SI-25870,845,84,7,Clothing,Saree,Credit Card
SI-25855,829,19,4,Electronics,Printers,Credit Card
SI-25602,561,212,3,Clothing,Saree,Jazz Cash
SI-25728,771,-424,2,Electronics,Phones,Credit Card
SI-25803,765,8,6,Clothing,Saree,UPaisa
SI-25996,31,2,2,Clothing,Hankerchief,Jazz Cash
SI-26078,557,-111,2,Electronics,Electronic Games,Jazz Cash
SI-25803,757,371,2,Electronics,Printers,Credit Card
SI-25682,545,-73,11,Electronics,Phones,Jazz Cash
SI-25749,1052,-82,3,Furniture,Bookcases,Easypaisa
SI-25962,544,-152,3,Furniture,Bookcases,Jazz Cash
SI-25899,22,9,2,Clothing,Leggings,Debit Card
SI-25845,757,371,2,Electronics,Printers,Credit Card
SI-25951,742,198,2,Furniture,Bookcases,Credit Card
SI-25828,537,107,3,Clothing,Saree,Jazz Cash
SI-25803,536,91,1,Clothing,Trousers,Jazz Cash
SI-25656,6,3,1,Clothing,Hankerchief,Jazz Cash
SI-25681,523,204,7,Clothing,Trousers,Jazz Cash
SI-25658,27,9,2,Clothing,T-shirt,Easypaisa
SI-25698,516,392,8,Furniture,Chairs,Jazz Cash
SI-25832,504,116,3,Furniture,Bookcases,Jazz Cash
SI-25886,502,84,4,Electronics,Phones,Jazz Cash
SI-25897,734,213,6,Electronics,Electronic Games,Credit Card
SI-25873,42,12,2,Clothing,Kurti,Jazz Cash
SI-25858,29,11,4,Clothing,Skirt,Jazz Cash
SI-25867,240,12,6,Clothing,Kurti,Easypaisa
SI-25633,496,-79,2,Clothing,Trousers,Jazz Cash
SI-25609,485,29,4,Electronics,Electronic Games,Jazz Cash
SI-25896,31,-11,3,Clothing,Skirt,Easypaisa
SI-26000,676,151,3,Electronics,Printers,Credit Card
SI-25959,23,8,2,Clothing,Hankerchief,Debit Card
SI-25940,13,3,2,Clothing,Hankerchief,Jazz Cash
SI-26087,180,0,8,Clothing,Stole,Jazz Cash
SI-26055,671,114,9,Electronics,Phones,Credit Card
SI-25980,22,11,3,Clothing,Kurti,Jazz Cash
SI-25653,668,-31,3,Electronics,Printers,Credit Card
SI-26052,145,0,3,Clothing,Saree,Easypaisa
SI-25877,24,8,2,Clothing,Skirt,Debit Card
SI-25608,476,0,3,Furniture,Chairs,Jazz Cash
SI-25897,24,11,5,Clothing,Hankerchief,Debit Card
SI-25881,37,3,3,Clothing,Hankerchief,Jazz Cash
SI-25905,152,50,6,Clothing,Stole,Easypaisa
SI-25818,32,11,2,Clothing,Leggings,Easypaisa
SI-25835,52,11,5,Clothing,Leggings,Jazz Cash
SI-26081,24,11,3,Clothing,Hankerchief,Debit Card
SI-25730,473,42,4,Furniture,Chairs,Jazz Cash
SI-25837,263,50,5,Clothing,Stole,Jazz Cash
SI-25893,61,11,3,Clothing,Kurti,Jazz Cash
SI-25689,469,-459,3,Electronics,Electronic Games,Jazz Cash
SI-26028,1272,547,2,Electronics,Phones,Jazz Cash
SI-26081,169,0,3,Electronics,Accessories,Jazz Cash
SI-25903,25,11,3,Clothing,Leggings,Debit Card
SI-25651,457,-41,4,Clothing,Saree,Jazz Cash
SI-25903,455,77,8,Electronics,Accessories,Jazz Cash
SI-26086,25,2,2,Clothing,Hankerchief,Debit Card
SI-25654,450,-90,3,Electronics,Printers,Jazz Cash
SI-25720,30,-35,1,Furniture,Chairs,Jazz Cash
SI-26057,659,-37,2,Furniture,Bookcases,Credit Card
SI-25798,448,148,2,Electronics,Printers,Jazz Cash
SI-25961,446,53,3,Electronics,Printers,Jazz Cash
SI-25701,98,-45,2,Furniture,Chairs,Easypaisa
SI-26055,443,11,1,Clothing,Saree,Jazz Cash
SI-25653,427,-50,7,Electronics,Phones,Jazz Cash
SI-25670,656,-36,2,Furniture,Bookcases,Credit Card
SI-26056,424,161,2,Clothing,Saree,Jazz Cash
SI-26061,27,8,2,Clothing,T-shirt,Debit Card
SI-25602,424,-272,5,Electronics,Phones,Jazz Cash
SI-26016,202,4,4,Clothing,Hankerchief,Jazz Cash
SI-25873,1275,357,2,Electronics,Phones,Easypaisa
SI-25761,418,70,7,Electronics,Phones,Jazz Cash
SI-25819,417,49,3,Electronics,Electronic Games,Jazz Cash
SI-25853,199,48,4,Clothing,Stole,Easypaisa
SI-25662,385,-77,11,Furniture,Furnishings,Easypaisa
SI-25993,414,199,3,Electronics,Phones,Jazz Cash
SI-25703,97,-45,4,Clothing,Saree,Jazz Cash
SI-25848,648,50,6,Electronics,Electronic Games,Credit Card
SI-25678,27,-25,2,Clothing,Shirt,Debit Card
SI-25925,27,12,1,Clothing,Stole,Debit Card
SI-25977,27,1,1,Clothing,Stole,Easypaisa
SI-25797,413,-314,9,Furniture,Chairs,Jazz Cash
SI-26067,53,2,4,Clothing,Hankerchief,Jazz Cash
SI-25810,29,8,5,Clothing,Hankerchief,Easypaisa
SI-25648,30,13,1,Clothing,T-shirt,Easypaisa
SI-25933,412,412,6,Clothing,Saree,Jazz Cash
SI-25942,646,-23,2,Electronics,Printers,Credit Card
SI-25656,30,-5,5,Clothing,Stole,Easypaisa
SI-26067,618,27,4,Furniture,Bookcases,Credit Card
SI-25673,143,-124,5,Clothing,Saree,Easypaisa
SI-25797,31,1,2,Clothing,Hankerchief,Easypaisa
SI-26098,409,86,3,Clothing,Saree,Jazz Cash
SI-25656,406,126,2,Clothing,Saree,Jazz Cash
SI-25791,565,66,7,Clothing,Saree,Credit Card
SI-26053,85,2,6,Clothing,Stole,Jazz Cash
SI-25983,561,118,5,Furniture,Bookcases,Credit Card
SI-25743,503,-56,2,Clothing,Trousers,Jazz Cash
SI-25867,31,14,3,Clothing,Stole,Easypaisa
SI-25973,398,111,8,Clothing,Hankerchief,Jazz Cash
SI-25895,388,93,2,Furniture,Bookcases,Jazz Cash
SI-26003,498,-116,4,Clothing,Saree,Easypaisa
SI-25717,561,212,3,Clothing,Saree,Credit Card
SI-26064,61,3,4,Clothing,Hankerchief,Jazz Cash
SI-25630,34,-22,4,Clothing,T-shirt,Jazz Cash
SI-26050,32,6,3,Clothing,Shirt,Easypaisa
SI-25786,623,-192,3,Furniture,Tables,Easypaisa
SI-26035,520,151,3,Electronics,Phones,Credit Card
SI-25693,32,-16,6,Clothing,Saree,Easypaisa
SI-25703,32,-5,5,Clothing,Hankerchief,Easypaisa
SI-25966,510,234,6,Electronics,Electronic Games,UPaisa
SI-26060,382,68,3,Clothing,Saree,Jazz Cash
SI-25898,33,13,3,Clothing,Leggings,Easypaisa
SI-25686,381,-13,2,Clothing,Saree,Jazz Cash
SI-26051,490,88,2,Electronics,Accessories,UPaisa
SI-25854,381,144,2,Clothing,Saree,Jazz Cash
SI-26050,487,143,4,Electronics,Phones,UPaisa
SI-25961,366,84,3,Furniture,Bookcases,Jazz Cash
SI-25701,33,-29,3,Clothing,Shirt,Easypaisa
SI-25970,365,107,3,Electronics,Phones,Jazz Cash
SI-25933,207,-100,2,Clothing,Saree,Easypaisa
SI-26081,359,-338,5,Furniture,Bookcases,Jazz Cash
SI-25650,351,-47,8,Electronics,Phones,Jazz Cash
SI-25850,485,199,4,Clothing,Saree,UPaisa
SI-25643,37,-23,4,Clothing,Shirt,Easypaisa
SI-26100,34,10,2,Clothing,T-shirt,Debit Card
SI-25964,346,108,3,Furniture,Chairs,Jazz Cash
SI-25676,342,-103,4,Electronics,Electronic Games,Jazz Cash
SI-25628,35,-8,2,Furniture,Furnishings,Debit Card
SI-25891,121,41,4,Clothing,Stole,Easypaisa
SI-25903,336,57,2,Electronics,Phones,Jazz Cash
SI-25851,336,71,3,Furniture,Bookcases,Jazz Cash
SI-26089,27,4,1,Clothing,Hankerchief,Jazz Cash
SI-25996,333,50,2,Electronics,Phones,Jazz Cash
SI-25881,36,7,3,Clothing,Leggings,Debit Card
SI-25621,333,-15,3,Electronics,Phones,Jazz Cash
SI-25727,327,114,4,Clothing,Trousers,Jazz Cash
SI-25843,18,6,3,Clothing,Hankerchief,Easypaisa
SI-26050,325,32,7,Clothing,T-shirt,Jazz Cash
SI-25741,482,-6,7,Electronics,Electronic Games,UPaisa
SI-25756,465,-33,4,Electronics,Phones,UPaisa
SI-25787,40,-12,3,Clothing,Shirt,Jazz Cash
SI-25603,107,36,6,Clothing,Stole,Jazz Cash
SI-25655,312,-312,7,Furniture,Chairs,Jazz Cash
SI-26096,451,25,3,Electronics,Phones,UPaisa
SI-25962,312,62,1,Electronics,Electronic Games,Jazz Cash
SI-26007,311,72,2,Furniture,Bookcases,Jazz Cash
SI-26088,11,5,2,Clothing,Hankerchief,Easypaisa
SI-25673,37,-5,3,Clothing,T-shirt,Debit Card
SI-25664,444,-200,4,Electronics,Phones,UPaisa
SI-25642,434,26,11,Clothing,Shirt,Credit Card
SI-25987,299,0,6,Clothing,Stole,Jazz Cash
SI-25903,37,17,3,Clothing,Hankerchief,Debit Card
SI-25770,299,113,2,Furniture,Bookcases,Jazz Cash
SI-25840,298,74,2,Furniture,Bookcases,Jazz Cash
SI-25846,94,7,7,Clothing,Leggings,Easypaisa
SI-25745,296,225,11,Clothing,Saree,Jazz Cash
SI-26073,37,17,3,Clothing,Hankerchief,Debit Card
SI-26030,291,93,2,Electronics,Printers,Jazz Cash
SI-25678,327,-39,1,Electronics,Phones,Jazz Cash
SI-26035,291,119,11,Clothing,Saree,Jazz Cash
SI-25896,287,-66,6,Clothing,Kurti,Jazz Cash
SI-25989,42,15,1,Electronics,Accessories,Easypaisa
SI-26016,429,61,3,Electronics,Electronic Games,Credit Card
SI-26009,285,128,2,Electronics,Printers,Jazz Cash
SI-25915,277,3,1,Electronics,Electronic Games,Jazz Cash
SI-25845,274,-7,4,Electronics,Phones,Jazz Cash
SI-25645,273,-87,4,Electronics,Phones,Jazz Cash
SI-25803,269,91,1,Electronics,Electronic Games,Jazz Cash
SI-26030,11,5,1,Clothing,Skirt,Jazz Cash
SI-25955,39,2,2,Clothing,Saree,Debit Card
SI-26096,264,-26,3,Clothing,Trousers,Jazz Cash
SI-25635,40,16,3,Clothing,Hankerchief,Debit Card
SI-26038,41,19,2,Clothing,T-shirt,Debit Card
SI-25791,253,-63,2,Clothing,Saree,Easypaisa
SI-26014,406,97,7,Furniture,Chairs,Credit Card
SI-25751,32,7,3,Clothing,Hankerchief,Jazz Cash
SI-25962,260,68,2,Electronics,Printers,Jazz Cash
SI-26025,41,19,5,Clothing,Hankerchief,Debit Card
SI-26048,401,13,6,Furniture,Chairs,Credit Card
SI-25635,382,30,3,Clothing,Saree,Credit Card
SI-25981,867,251,5,Electronics,Phones,Jazz Cash
SI-25610,43,0,3,Clothing,Saree,Debit Card
SI-25733,43,-43,7,Clothing,Stole,Debit Card
SI-25977,74,29,3,Clothing,Stole,Jazz Cash
SI-25655,44,-26,3,Clothing,Hankerchief,Debit Card
SI-25612,259,-55,2,Furniture,Chairs,Jazz Cash
SI-25608,257,23,5,Clothing,Hankerchief,Jazz Cash
SI-25752,76,27,5,Clothing,Stole,Jazz Cash
SI-25700,44,-32,3,Clothing,Stole,Debit Card
SI-25856,257,3,2,Clothing,Saree,Jazz Cash
SI-26026,255,76,9,Clothing,Hankerchief,Jazz Cash
SI-25861,44,14,3,Clothing,Hankerchief,Debit Card
SI-25673,45,-2,4,Clothing,Shirt,Jazz Cash
SI-25681,44,-3,1,Clothing,Saree,Debit Card
SI-26051,382,119,2,Clothing,Saree,Credit Card
SI-25951,250,100,3,Clothing,Trousers,Jazz Cash
SI-25799,45,-15,2,Furniture,Chairs,Jazz Cash
SI-26053,246,61,2,Furniture,Bookcases,Jazz Cash
SI-26030,50,25,5,Clothing,Stole,Jazz Cash
SI-26054,246,98,5,Clothing,Hankerchief,Jazz Cash
SI-25696,44,99,3,Clothing,Kurti,Debit Card
SI-25660,245,-78,3,Clothing,Saree,Jazz Cash
SI-25858,245,30,2,Clothing,Saree,Jazz Cash
SI-26045,376,0,7,Clothing,Stole,Credit Card
SI-25850,45,1,3,Clothing,T-shirt,Debit Card
SI-25781,45,-28,2,Clothing,Stole,Debit Card
SI-25918,244,-122,5,Furniture,Furnishings,Jazz Cash
SI-25971,244,83,2,Furniture,Bookcases,Jazz Cash
SI-25870,10,4,1,Clothing,Kurti,Easypaisa
SI-25770,375,180,3,Furniture,Bookcases,Credit Card
SI-25757,46,14,5,Clothing,Skirt,Debit Card
SI-25699,49,-31,2,Clothing,Stole,Easypaisa
